feat,importance
l_absolut_blue_w_cranberry_juice,4.939068894621187e-07
l_absolut_citron,0.00019718627925794207
l_absolut_elyx,2.270440661976123e-09
l_absolut_grapefruit,0.00013973065030538695
l_absolut_lime,4.087377777714629e-05
l_absolut_lime_mini,3.9664435386625526e-06
l_absolut_mandrin,7.418217355312424e-05
l_absolut_mandrin_mini,0.0
l_absolut_mango,4.298861296611783e-06
l_absolut_mini_bar,6.41658268760001e-08
l_absolut_mojito_ready_to_serve,0.00045290289091638665
l_absolut_pears,0.0001366938643948003
l_absolut_peppar,1.937283237540993e-06
l_absolut_raspberri,2.0428266716982554e-05
l_absolut_raspberry_lemonade_ready_to_serve,1.241618613610781e-05
l_absolut_swedish_vodka_80prf,0.0006811101790386584
l_absolut_swedish_vodka_80prf_mini,4.2925296932112416e-05
l_absolut_vanilia,0.0004334506819859477
l_absolut_w_fever_tree_ginger_beer,3.591905855709696e-06
l_absolut_w_kahlua_50ml_and_espresso_martini_mix,1.486576602943543e-06
l_absolut_watermelon,7.932946620972951e-05
l_absolut_wild_berry,0.00011882319006305854
l_adictivo_anejo,0.0
l_adictivo_anejo_black,0.0
l_adictivo_anejo_blue_label_ceramic,0.0
l_adictivo_anejo_tequila,0.0
l_adictivo_extra_anejo,2.298504406175381e-08
l_adictivo_extra_anejo_14yr_double_black,0.0
l_adictivo_extra_anejo_14yr_extra_rare,0.0
l_adictivo_extra_anejo_cristalino,0.0
l_adictivo_plata,2.0318256260540663e-06
l_adictivo_reposado,5.606146881567613e-07
l_adictivo_reposado_cristalino,0.0
l_adictivo_whiskey_small_batch,0.0
l_admiral_nelson_cherry_spiced,6.529373550222722e-05
l_admiral_nelson_coconut,7.654891772974226e-06
l_admiral_nelson_spiced,0.00016483529604380566
l_admiral_nelson_spiced_101,6.545895202825037e-07
l_admiral_nelson_spiced_mini,9.858519172298823e-06
l_admiral_nelson_spiced_pet,1.4395371737290781e-05
l_agavero_orange_tequila_liqueur,0.0
l_akashi_whisky,0.0
l_alander_nordic_spiced_rum,0.0
l_alto_del_carmen_pisco_reservado,0.0
l_alvisa_10yr_brandy,0.0
l_alvisa_honey,0.0
l_alvisa_xo_brandy,0.0
l_amador_double_barrel_low_rye_cabernet_finish,0.0
l_amador_double_barrel_wheat_bourbon_chardonnay,0.0
l_amador_kentucky_rye_port_finish,0.0
l_aman_tequila_reposado,0.0
l_amaretto_e_dolce,1.0950448778733956e-05
l_amaro_braulio,7.964357820841528e-09
l_amaro_montenegro,8.94738434188555e-06
l_amaro_montenegro_w_glass,1.097051440713652e-08
l_amarula_cream_liqueur,2.53723417390272e-06
l_amarula_cream_liqueur_w_2_glasses,0.0
l_american_born_apple_pie_whiskey,0.0
l_american_born_apple_pie_whiskey_mini,3.0849774061088625e-07
l_american_born_bourbon_whiskey,5.947212537504858e-10
l_american_born_moonshine_apple_pie,1.7180493433796894e-06
l_american_harvest_organic_red_vodka,5.003520988494719e-08
l_american_premium_vodka,2.0105912588533985e-06
l_ancho_reyes,0.00028486209017326484
l_ancho_reyes_barrica,0.0
l_ancient_age_10_star_bourbon,3.140754067750947e-05
l_ancient_age_bourbon,0.000582783533088858
l_ancnoc_12yr,5.092163794807769e-09
l_ancnoc_18yr_single_malt_scotch,0.0
l_angels_envy_bourbon,8.517856449830452e-07
l_angels_envy_bourbon_port_finished,0.0007261480654241291
l_angels_envy_buy_the_barrel,5.982805438134415e-08
l_angels_envy_rye,1.9069439050682136e-05
l_angostura_5yr_gold_rum,0.00029067783302156707
l_angostura_7yr_dark_caribbean_rum,0.0
l_angostura_di_amaro_liqueur,0.0
l_angostura_rum_1919,0.0
l_ansac_vs_cognac,1.1483049749997271e-10
l_ao_suntory_world_whisky,2.7933630725927173e-06
l_aperol,0.000585789267715083
l_aperol_summer_gift_pack_with_spritz_glass,5.569151274952688e-05
l_aperol_use_code_64105,0.0
l_aperol_w_aperol_spritz_glass,0.0
l_appleton_12yr_estate_rare_casks,2.7095888375776077e-05
l_appleton_8yr_reserve,1.2944604118380377e-05
l_appleton_estate_15yr_black_river_casks,0.0
l_appleton_estate_signature_blend,4.7510264423491455e-05
l_aqua_perfecta_basil_eau_de_vie,0.0
l_arak_brun_5_year_special_reserve,0.0
l_arak_ksarak,0.0
l_arandas_white_tequila,7.01997740710727e-09
l_ardbeg_10yr_islay,7.917519854363857e-06
l_ardbeg_an_oa,1.1532001970792414e-08
l_ardbeg_anamorphic,1.0828284620096373e-07
l_ardbeg_anthology_14yo_gb_2024_edition,2.728851132471811e-05
l_ardbeg_corryvreckan,1.4782955498345184e-06
l_ardbeg_spectacular_ardbeg_day,7.304377712757111e-07
l_ardbeg_uigeadail,6.932354416772273e-06
l_ardbeg_wee_beastie,1.3065851470712024e-05
l_ardnamurchan_highland_single_malt_whisky,0.0
l_arette_artesanal_suave_anejo_tequila,0.0
l_arette_artesanal_suave_reposado,0.0
l_arette_suave_blanco_tequila,0.0
l_arette_suave_fuerte_blanco_tequila,4.475672803717274e-09
l_arran_10yr_single_malt_scotch,0.0
l_arran_bothy_quarter_cask,0.0
l_arrogant_bastard_whiskey,2.973842227659199e-06
l_arrow_anisette,0.0
l_arrow_apricot_brandy,9.67612028790948e-06
l_arrow_blackberry_brandy,4.073508147929224e-05
l_arrow_creme_de_almond,0.0
l_arrow_creme_de_cacao_brown,0.0
l_arrow_creme_de_cacao_white,6.925939359700534e-05
l_arrow_creme_de_cassis,0.0
l_arrow_creme_de_menthe_green,6.366041643265666e-06
l_arrow_creme_de_menthe_white,5.46054993562963e-06
l_arrow_mcdales_butterscotch_schnapps,4.315690991064036e-05
l_arrow_peach_schnapps,0.00027321681910779354
l_arrow_peppermint_schnapps,6.305426340496004e-05
l_arrow_peppermint_schnapps_mini,2.212477954323425e-06
l_arrow_raspberry_schnapps,0.00042186610495418143
l_arrow_spearmint_schnapps,7.859346514769468e-06
l_arrow_wild_cherry_brandy,6.347012554126372e-06
l_artenom_1123_blanco_historico_tequila,0.0
l_artenom_1146_anejo_tequila,0.0
l_artenom_1414_reposado_tequila,0.0
l_artenom_seleccion_de_1579_blanco,0.0
l_artists_blend_blend_scotch,0.0
l_asbach_15yr_brandy,0.0
l_asombroso_gran_reserva_extra_anejo,0.0
l_asombroso_la_rosa_reposado,0.0
l_asombroso_silver_tequila,0.0
l_aspen_vodka,0.0
l_astral_anejo_tequila,7.548030088336785e-05
l_astral_margarita_cocktail,1.605804080740181e-05
l_astral_reposado,5.840891848122415e-05
l_astral_tequila,0.00036206228345909654
l_atomic_drop_au79,0.0
l_atomic_drop_co27,0.0
l_atomic_drop_cu29,0.0
l_atomic_drop_hg80,0.0
l_auchentoshan_12yr,0.0
l_auchentoshan_american_oak,0.0
l_auchentoshan_three_wood,0.0
l_autentica_de_mi_pueblo_anejo_agave_spirit,0.0
l_autentica_de_mi_pueblo_plata_agave_spirit,0.0
l_autentica_de_mi_pueblo_reposado_agave_spirit,0.0
l_averna_amaro,1.1247929864928953e-05
l_aveze_gentiane_liqueur,0.0
l_aviation_american_gin,0.00027891140663175915
l_avion_cristalino,1.0823776257725781e-08
l_avion_reposado,8.479167222381569e-07
l_avion_reserva_44,0.0
l_avion_silver,7.3694159064912054e-06
l_axe_man_whiskey,0.0
l_azteca_azul_plata,0.0
l_azteca_azul_plata_tequila,3.2950219985740436e-08
l_azteca_azul_reposado_tequila,5.327182274759334e-10
l_b_b_dom,1.4170249573801058e-05
l_bacardi_8,0.0010282900595821524
l_bacardi_anejo_cuatro,3.404649548835868e-08
l_bacardi_bahama_mama_rts,8.319125871925892e-10
l_bacardi_black,0.0005616399830791627
l_bacardi_coconut_rum,1.4656945110425007e-05
l_bacardi_coquito,7.136516251342456e-08
l_bacardi_dragon_berry,0.01945020045000845
l_bacardi_gold,6.226777582744916e-05
l_bacardi_gold_mini,1.5109111885082722e-06
l_bacardi_gold_pet,9.64265824231598e-05
l_bacardi_hurricane_rts,3.0120643752417573e-05
l_bacardi_lime,7.242404858856114e-05
l_bacardi_limon,0.0005455143046651131
l_bacardi_mango_chile,1.0503909431716929e-05
l_bacardi_mojito_rts,4.7543379151989045e-06
l_bacardi_ocho_gift_tube,0.0
l_bacardi_pineapple_fusion,1.4621557696846477e-05
l_bacardi_pineapple_mai_tai,0.0
l_bacardi_raspberry,8.685672285346558e-05
l_bacardi_reserva_ocho_sevillian_orange_cask,1.7007088717247376e-08
l_bacardi_rum_punch_rts,1.295688275738138e-07
l_bacardi_spiced_rum,1.4221230890607538e-05
l_bacardi_superior,0.0045767056639325135
l_bacardi_superior_mini,5.7689400123908943e-05
l_bacardi_superior_pet,0.000257565942610076
l_bacardi_zombie_rts,4.3146191693328154e-07
l_badel_stara_sljivovica_premium_selection,0.0
l_badel_williams_pear_brandy,1.017462216338265e-08
l_bagger_vodka,4.298778879571213e-05
l_baileys_almande,4.927486563277234e-06
l_baileys_chocolate,5.52600602979385e-05
l_baileys_cinnamon_churros_liqueur,9.889185041261347e-06
l_baileys_deliciously_light,1.170104510580676e-08
l_baileys_expresso,3.587844273108529e-06
l_baileys_original_irish_cream,0.0002624767417539572
l_baileys_original_irish_cream_100ml,7.075926022485525e-06
l_baileys_original_irish_cream_mini,3.5109902973810956e-06
l_baileys_original_irish_cream_w_glass_mug,1.941330183596705e-06
l_baileys_salted_caramel,1.2846807172575581e-05
l_baileys_smores,1.7428325039605877e-05
l_baileys_strawberries_cream,2.1857587545680254e-05
l_baileys_vanilla_cinnamon,5.475498388645137e-08
l_baileys_vanilla_mint_shake,3.2338996922763083e-06
l_bakers_7yr,9.433580987879486e-06
l_bakers_high_rye_bourbon,1.8302826770508553e-05
l_bakon,7.617539687088961e-07
l_balcones_1_texas_single_malt,0.0
l_balcones_brimstone,0.0
l_balcones_lineage_single_malt,3.803589307088408e-08
l_ballantines_finest_blended_scotch_whisky,0.00017901289763764923
l_ballotin_chocolate_cherry_cream_whiskey,9.38859765162666e-08
l_ballotin_chocolate_mocha_cream_whiskey,0.0
l_ballotin_chocolate_peanut_butter_cream,8.500031599998555e-07
l_ballotin_chocolate_toffee_whiskey,1.0358550972119445e-08
l_ballotin_chocolate_whiskey_bourbon_ball,2.1369360762455912e-07
l_ballotin_chocolate_whiskey_caramel_turtle,6.277187161662675e-06
l_ballotin_chocolate_whiskey_caramel_turtle_mini,0.0
l_ballotin_chocolate_whiskey_chocolate_mint,6.845267786143685e-10
l_ballotin_chocolate_whiskey_mini,6.840060661276177e-06
l_ballotin_peanut_butter_chocolate_whiskey,5.010043924448049e-06
l_ballotin_peanut_butter_chocolate_whiskey_mini,7.020594464289984e-08
l_baluarte_anejo_tequila,0.0
l_baluarte_blanco_tequila,0.0
l_baluarte_reposado_tequila,0.0
l_balvenie_12yr_american_oak,9.984895687370058e-08
l_balvenie_12yr_doublewood,0.00010573100868361543
l_balvenie_14yr_caribbean_cask,3.324806229772008e-05
l_balvenie_21yr_portwood,7.842013823928922e-07
l_bandoeng_22_pandan,0.0
l_banhez_mezcal_ensamble,0.0
l_banhez_mezcal_joven,0.0
l_bankers_club_bourbon_reserve_5yr,1.2191361112376657e-06
l_barbancourt_3_rhum_4yr,0.0
l_barbancourt_5_rhum_8yr,1.4598245572252529e-08
l_barbancourt_estate_reserve_rhum_15yr,0.0
l_barcelo_organic_rum,0.0
l_barenjager_honey_liq_w_2_boot_shaped_shot_glasses,0.0
